@relation 'cjlt123.txt-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-79,81-100,103,107-124,126-127,129-220,222-223,225-270'

@attribute att_80 numeric
@attribute att_101 numeric
@attribute att_102 numeric
@attribute att_104 numeric
@attribute att_105 numeric
@attribute att_106 numeric
@attribute att_125 numeric
@attribute att_128 numeric
@attribute att_221 numeric
@attribute att_224 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}

@data
{0 -0.053103,1 0.141771,2 -0.956136,3 -0.376887,4 -0.927963,5 -0.797916,6 -0.688651,7 0.7164,8 0.02379,9 -0.017746}
{0 -0.07661,1 0.171769,2 -0.918014,3 -0.300024,4 -0.924115,5 -0.807693,6 -0.676109,7 0.645606,8 -0.069802,9 -0.111078}
{0 -0.029716,1 0.133815,2 -0.885867,3 -0.318759,4 -0.930035,5 -0.894016,6 -0.652627,7 0.60967,8 -0.134614,9 -0.163569}
{0 -0.108508,1 0.120071,2 -0.869896,3 -0.320524,4 -0.924448,5 -0.825303,6 -0.710184,7 0.653892,8 -0.096106,9 -0.146001}
{0 -0.074935,1 0.112891,2 -0.865765,3 -0.325325,4 -0.928073,5 -0.713846,6 -0.712441,7 0.647394,8 -0.078838,9 -0.133991}
{0 -0.15573,1 0.111399,2 -0.871033,3 -0.332155,4 -0.929373,5 -0.90105,6 -0.742893,7 0.690808,8 -0.080072,9 -0.120631}
{0 -0.161562,1 0.048597,2 -0.86395,3 -0.398759,4 -0.933294,5 -0.902672,6 -0.766726,7 0.696599,8 -0.130682,9 -0.183093}
{0 -0.220251,1 0.076289,2 -0.864255,3 -0.367279,4 -0.935369,5 -0.887518,6 -0.772751,7 0.723916,8 -0.111771,9 -0.13956}
{0 -0.186804,1 0.078486,2 -0.897757,3 -0.398771,4 -0.931299,5 -0.902267,6 -0.780448,7 0.723457,8 -0.088113,9 -0.144807}
{0 -0.106621,1 0.043895,2 -0.94098,3 -0.490075,4 -0.934983,5 -0.897652,6 -0.7724,7 0.704361,8 -0.136499,9 -0.202748}
{0 -0.050758,1 -0.031223,2 -0.91037,3 -0.542855,4 -0.94105,5 -0.57034,6 -0.767577,7 0.708818,8 -0.150311,9 -0.184393}
